章,名称,国名,登録基準,特殊遺産,時代・王朝,民族,人,生物,構成資産,建築・絵画の様式,特徴
嗜好品（コーヒー、茶、酒、たばこ）,ビャウォヴィエジャ森林保護区,ベラルーシ及びポーランド,(ⅸ)(ⅹ),,,,,,,,ヨーロッパ最大の森林地帯
嗜好品（コーヒー、茶、酒、たばこ）,リュウゼツランの景観とテキーラ村の古式産業施設群,メキシコ,(ⅱ)(ⅳ)(ⅴ)(ⅵ),文化的景観,,,,リュウゼツラン,,,
嗜好品（コーヒー、茶、酒、たばこ）,コネリアーノとヴァルドッビアーデネのプロセッコ栽培丘陵群,イタリア,(ⅴ),文化的景観,,,,,,,チリオーニと呼ばれる狭い草だらけの台地
嗜好品（コーヒー、茶、酒、たばこ）,武夷山,中国,(ⅲ)(ⅵ)(ⅶ)(ⅹ),,,,,,,,九曲渓
イスラム建築,イスファハーンのマスジェデ・ジャーメ（金曜モスク）,イラン・イスラム,(ⅱ),,セルジューク朝,,ニザーム・アル・ムルク,,"イマーム広場
 マスジェデ・ジャーメ",4イーワーン,イラン最古の金曜礼拝用モスク
イスラム建築,コルドバの歴史地区,スペイン,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,西ゴート王国,,フェルナンド3世,,メスキータ,,
イスラム建築,ダマスカスの旧市街,シリア・アラブ,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),危機遺産,ウマイヤ朝,,,,,,"旧約聖書
 シリアの世界遺産6件がすべて危機遺産リスト登録"
イスラム建築,ソルターニーイェ,イラン・イスラム,(ⅱ)(ⅲ)(ⅳ),,イル・ハン国,,,,,,
イスラム建築,エディネルのセリミエ・モスクとその関連施設,トルコ,(ⅰ)(ⅳ),,,,ミマール・スィナン,,,,
イスラム建築,ブハラの歴史地区,ウズベキスタン,(ⅱ)(ⅳ)(ⅵ),,サーマーン朝,,,,イスマーイール廟,,
イスラム建築,バゲルハット：モスクを中心とした歴史都市,バングラディシュ,(ⅳ),,,,ハン・ジャハーン・アリー,,ハリファターバッド,,
イスラム建築,デリーのフユマーン廟,インド,(ⅱ)(ⅳ),,,,,,,,ペルシアのインドの建築様式が融合している
イスラム建築,ファテープル・シークリー,インド,(ⅱ)(ⅲ)(ⅳ),,,,,,ブランド・ダルワーザ,,
イスラム建築,グラナダのアルハンブラ宮殿、ヘネラリーフェ離宮、アルバイシン地区,スペイン,(ⅰ)(ⅲ)(ⅳ),,グラナダ王国ナスル朝,,,,,アラベスク様式,
イスラム建築,フェズの旧市街,モロッコ,(ⅱ)(ⅴ),,イドリース朝,,イドリース2世,,,,
イスラム建築,ジェンネの旧市街,マリ,(ⅲ)(ⅳ),危機遺産,,ホゾ族,,,,スーダン様式,
イスラム建築,コートジボワール北部にあるスーダン様式のモスク群,コートジボワール,(ⅱ)(ⅳ),,,,,,,,サハラ交易生まれた様式
ヨーロッパの建築,シャルトルの大聖堂,フランス,(ⅰ)(ⅱ)(ⅳ),,,,,,シャルトルブルー,ゴシック様式,美しき絵ガラスの聖母
ヨーロッパの建築,ティヴォリのハドリアヌス別荘,イタリア,(ⅰ)(ⅱ)(ⅲ),,,,,,"ストア・ポイキレ
 カノプス",,
ヨーロッパの建築,ボイ渓谷のカタルーニャ風ロマネスク様式教会群,スペイン,(ⅱ)(ⅳ),,,,,,サン・クリメン教会,,イスラムの勢力が及ばずキリスト教の教会が数多く建てられた
ヨーロッパの建築,ヴァッセのアポロン・エピクリオス神殿,ギリシャ,(ⅰ)(ⅱ)(ⅲ),,,,,,,"ドーリア式
 イオニア式
 コリント式",
ヨーロッパの建築,フォントネーのシトー会修道院,フランス,(ⅳ),,,,,,,,シトー会最古の修道院
ヨーロッパの建築,トゥルネーのノートル・ダム大聖堂,ベルギー,(ⅱ)(ⅳ),,,,,,,"ロマネスク様式
 ゴシック様式",他地域に先駆けてゴシック様式で改築
ヨーロッパの建築,アフパットとサナインの修道院,アルメニア,(ⅱ)(ⅳ),,,,,,,,"アルメニアは4世紀初めにキリスト教を国教とした国
 聖十字架を奉納するためにアフパットの修道院が建設された
 アプシスには全能者ハリストスのフレスコ画がある"
ヨーロッパの建築,ダフニ、オシオス・ルカス、ヒオスのネア・モニの修道院群,ギリシャ,(ⅰ)(ⅳ),,,,,,オシオス・ルカス修道院,,内接十字形
ヨーロッパの建築,ブレナム宮殿,イギリス,(ⅱ)(ⅳ),,,,ジョン・ヴァンブラ,,,,イギリス式庭園
ヨーロッパの建築,ナンシーのスタニスラス広場、カリエール広場、アリアン巣広場,フランス,(ⅰ)(ⅳ),,,,スタニスラス・レシチニスキー,,,,
ヨーロッパの建築,レーゲンスブルク旧市街とシュタットアムホーム,ドイツ,(ⅱ)(ⅲ)(ⅳ),,,,,,,,神聖ローマ帝国議会が置かれた都市
ヨーロッパの建築,ブリュールのアウグストゥスブルク城と別邸ファルケンルスト,ドイツ,(ⅱ)(ⅳ),,,,クレメンス・アウグスト,,,,
ヨーロッパの建築,ムンバイにあるヴィクトリア朝ゴシックとアール・デコの建造物群,インド,(ⅱ)(ⅳ),,,,,,,ゴシック・リバイバル様式,
ヨーロッパの建築,プスコフ建築派の教会群,ロシア,(ⅱ),,,,,,,,プスコフ建築派によって築かれた教会や聖堂修道院などが残る
ヨーロッパの建築,パレルモのアラブ・ノルマン様式の建造物群と、チェファルとモンレアーレの大聖堂,イタリア,(ⅱ)(ⅳ),,,,シチリア王ルッジェーロ2世,,"チェファル大聖堂
 モンレアーレ大聖堂",,
ヨーロッパの建築,ウルネスの木造教会,ノルウェー,(ⅰ)(ⅱ)(ⅲ),,,,,,,ヴァイキング時代の建築法,ルストラフィヨルドを見下ろすノルウェー最古の木造教会
ヨーロッパの建築,キージ島の木造教会と集落,ロシア,(ⅰ)(ⅳ)(ⅴ),,,,,,プレオブラジェンスカヤ教会,,ポゴーストには釘を用いず複雑な木組みと装飾によって建てられた教会がある
近現代建築,フランク・ロイド・ライトの20世紀の建築,アメリカ,(ⅱ),,,,,,"落水荘
 ジェイコブス邸
 グッゲンハイム美術館
 ロビー邸",有機的建築,"水平ラインを強調するプレイリースタイルは機能主義の建築と対立する概念ととらえることができる
 自然の造形や原理に基づいている"
近現代建築,ブルノのトゥーゲントハート邸,チェコ,(ⅱ)(ⅳ),,,,ミース・ファン・デル・ローエ,,,,
近現代建築,建築家ヴィクトール・オルタによる主な邸宅（ブリュッセル）,ベルギー,(ⅰ)(ⅱ)(ⅳ),,,,,,,,"アール・ヌーヴォー建築の先駆け
 曲線装飾"
近現代建築,リートフェルト設計のシュレーダー邸,オランダ,(ⅰ)(ⅱ),,,,,,,,造形の純粋性を追求する芸術運動「デ・ステイル」の中心人物
近現代建築,アールフェルトのファーグス靴型工場,ドイツ,(ⅱ)(ⅳ),,,,ヴァルター・グロピウス,,,,
近現代建築,ルイス・バラガン邸と仕事場,メキシコ,(ⅰ)(ⅱ),,,,ルイス・バラガン,,,,
近現代建築,ベルリンのモダニズム公共住宅,ドイツ,(ⅱ)(ⅳ),,,,"ブルーノ・タウト
 マルティン・ヴァグナー
 ヴァルター・グロピウス",,,,
近現代建築,チャトラパティ・シヴァージー・ターミナス駅（旧名ヴィクトリア・ターミナス）,インド,(ⅱ)(ⅳ),,,,F・W・スティーヴンス,,,ゴシック・リバイバル様式,英国とインドの文化の融合
近現代建築,シュパイヒャーシュタットと、チリハウスのあるコントールハウス地区,ドイツ,(ⅳ),,,,,,,,シュパイヒャーシュタットと隣接する
近現代建築,リュブリャナにあるヨジェ・プレチニクの作品群：人間中心の都市デザイン,スロベニア,(ⅳ),,,,,,"三本橋
 スロベニア国立大学図書館",,"ウィーン分離派の影響を受ける
 オットー・ワーグナーに建築を学ぶ"
近現代建築,テル・アビーブの近代都市ホワイト・シティ,イスラエル,(ⅱ)(ⅳ),,,,,,,,イスラエルの気候条件に適合するようにつくられている
近現代建築,ブラジリア,ブラジル,(ⅰ)(ⅳ),,,,オスカー・ルシオ・コスタニーマイヤー,,,,上空から見ると飛行機型
近現代建築,アスマラ：アフリカのモダニズム都市,エリトリア,(ⅱ)(ⅳ),,,,,,,イタリア合理主義,
近現代建築,ダルムシュタットのマチルデンフーエ（マチルダの丘）,ドイツ,(ⅱ)(ⅳ),,,,ヘッセ大公エルンスト・ルートヴィヒ,,,,アーツ・アンド・クラフツ運動
近現代建築,技術者エラディオ・ディエステの作品：アトランティーダの教会,ウルグアイ,(ⅳ),,,,,,,,"ウルグアイで入手が容易なレンガにモルタルと鉄筋を組み合わせる
 ガウス・ヴォールト"
旧市街,エディンバラの旧市街と新市街,イギリス,(ⅱ)(ⅳ),,,,,,"エディンバラ城
 スクーンの石
 ホリールードハウス宮殿",,
旧市街,ラバト：近代の首都と歴史都市の側面を併せもつ都市,モロッコ,(ⅱ)(ⅳ),,,,アンリ・ブロスト,,,,"ムワッヒド城壁
 ウダイヤのカスバ"
旧市街,平遥の古代都市,中国,(ⅱ)(ⅲ)(ⅳ),,,,,,,,清代に金融業の中心として繁栄
旧市街,ルクセンブルク市の旧市街と要塞,ルクセンブルク,(ⅳ),,,,,,,イスパノ・モレスク様式,
旧市街,リヴィウ歴史地区,ウクライナ,(ⅱ)(ⅴ),危機遺産,,,,,リノック広場,"東欧の伝統的な様式
 バロック様式
 ルネサンス様式",1772年のポーランド分割によってオーストラリア帝国領
旧市街,タリンの歴史地区,エストニア,(ⅱ)(ⅳ),,,,,,,,"ドイツ騎士修道会
 トーンペア"
旧市街,クヴェートリンブルクの旧市街と聖堂参事会教会、城,ドイツ,(ⅳ),,,,ハインリヒ1世,,,ハーフティンバー様式,
旧市街,クスコの市街,ペルー,(ⅲ)(ⅳ),,,,パチャクテク,,,,インカ帝国の首都
旧市街,ラジャスタン州のジャイプール市街,インド,(ⅱ)(ⅳ)(ⅵ),,,,サワーイー・ジャイ・シング2世,,,,都市計画に従って築かれた街
旧市街,チュニスの旧市街,チュニジア,(ⅱ)(ⅲ)(ⅴ),,,,ハサン・イヴン・アル・ヌウマーン,,ザイトゥーナ・モスク,,
旧市街,ジッダの歴史地区：メッカの入り口,サウジアラビア,(ⅱ)(ⅳ)(ⅵ),,,,ウスマーン・イブン・アッファーン,,,,メッカ巡礼（ハッジ）の玄関口
旧市街,アッコの旧市街,イスラエル,(ⅱ)(ⅲ)(ⅴ),,オスマン帝国,,,,アル・ジャッザール・モスク,,十字軍の遺構の上に建てられた城塞都市
旧市街,ラムの旧市街,ケニア,(ⅱ)(ⅳ)(ⅵ),,,,,,,,サンゴ石とマングローブの木材
庭園,クロムニェジーシュの庭園と宮殿,チェコ,(ⅱ)(ⅳ),,,,,,"ポンペイの柱廊
 快楽の庭園",バロック様式,
庭園,ペルシア庭園,イラン・イスラム,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),文化的景観,アケメネス朝ペルシア,,キュロス2世,,,,ゾロアスター教が重視した空・大地・水・植物の4つの要素に基づいて構成されている
庭園,杭州にある西湖の文化的景観,中国,(ⅱ)(ⅲ)(ⅵ),文化的景観,,,,,,,山水画のような世界
庭園,ホベルト・ブールリ・マルクスの庭園,ブラジル,(ⅱ)(ⅳ),文化的景観,,,ホベルト・ブールリ・マルクス,,,,ランドスケープデザイン
庭園,ティヴォリのエステ家別荘,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,ピッロ・リゴーリオ,,オルガンの噴水,バロック様式,フランツ・リストが作曲したピアノ曲集に壮麗な噴水を表題した楽曲がある
庭園,ヴィルヘルムスヘーエ丘陵公園,ドイツ,(ⅲ)(ⅳ),文化的景観,,,,,,,油圧や空気圧を駆使して水が給料の斜面に設けられた水路に供給される
庭園,デッサウ・ヴェルリッツの庭園王国,ドイツ,(ⅱ)(ⅳ),文化的景観,,,レオポルト3世,,,,
庭園,トスカーナのメディチ家の別荘と庭園,イタリア,(ⅱ)(ⅳ)(ⅵ),文化的景観,,,,,,,メディチ家の12の別荘と2つの庭園
庭園,ファウンテン図修道院の廃墟のあるスタッドリー・ロイヤル公園,イギリス,(ⅰ)(ⅳ),,,,ジョン・エイズラビー,,,,1983年にナショナル・トラストの所有物となる
庭園,マフラの王家の建物：宮殿、バシリカ、女子修道院、セルコ庭園、狩猟公園（タパダ）,ポルトガル,(ⅳ),,,,,,"セルコ庭園
 タパダ",バロック様式,
庭園,シーギリヤの古代都市,スリランカ,(ⅱ)(ⅲ)(ⅳ),,シンハラ王国,,カッサパ1世,,"水の庭園
 シーギリヤ・レディ",,
庭園,ゴレスタン宮殿,イラン・イスラム,(ⅱ)(ⅲ)(ⅳ),,カージャール朝,,シャー・ジャハーン帝,,,,初期ペルシア工芸品と西洋建築技術の融合
庭園,承徳の避暑山荘と外八廟,中国,(ⅱ)(ⅳ),,,,,,溥仁寺,,中国全土の縮図といえる景観
庭園,ラホール城とシャーラマール庭園,パキスタン,(ⅰ)(ⅱ)(ⅲ),,,,,,,,ペルシア式泉水庭園
庭園,昌徳宮,韓国,(ⅱ)(ⅲ)(ⅳ),,,,,,秘苑,,
庭園,山寺（サンサ）：韓国の山岳僧院群,韓国,(ⅲ),,,,,,"通度寺
 浮石寺
 鳳停寺
 法住寺
 麻谷寺
 仙岩寺
 大興寺",,マダンという韓国特有の庭園
神話・伝説,ジャイアンツ・コーズウェイとその海岸,イギリス,(ⅶ)(ⅷ),,,,,,,,"正六角形をした約4万本の玄武岩の石柱
 巨人伝説にちなんで巨人の石道と名付けられた"
神話・伝説,エオーリエ諸島,イタリア,(ⅷ),,,,,,,,ストロンボリ諸島
神話・伝説,アマルフィ海岸,イタリア,(ⅱ)(ⅳ)(ⅴ),文化的景観,,,,,アマルフィ大聖堂,,
神話・伝説,ヘラクレスの塔,スペイン,(ⅲ),,,,,,,,世界最古の灯台
神話・伝説,ライン渓谷中流上部,ドイツ,(ⅱ)(ⅳ)(ⅴ),文化的景観,,,,,,,ローレライ伝説
神話・伝説,デルフィの考古遺跡,ギリシャ,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,アポロン神殿,,ピュティア
神話・伝説,アフロディシアス,トルコ,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,アフロディーテ信仰を通してローマ帝国と緊密な関係を結ぶ
神話・伝説,ランス・オー・メドー国立歴史公園,カナダ,(ⅵ),,,,ヴァイキング,,,,北アメリカにおける最初のヨーロッパ人の入植地
神話・伝説,ラリベラの岩の聖堂群,エチオピア,(ⅰ)(ⅱ)(ⅲ),,サグウェ朝,,,,キョルギス聖堂,アクスム王国の様式,
神話・伝説,バアルベック,レバノン,(ⅰ)(ⅳ),,,,,,ユピテル神殿,コリント式,
神話・伝説,サナアの旧市街,イエメン,(ⅳ)(ⅴ)(ⅵ),危機遺産,,,,,スーク・アル・ミルフ,,"アベドという日干しレンガを積み上げて作られた高層住宅
 乳香貿易"
神話・伝説,聖山スレイマン・トー,キルギス,(ⅲ)(ⅵ),,,,,,,,"中央アジアの聖山の典型
 民間信仰とイスラム教信仰が混在"
神話・伝説,黄山,中国,(ⅲ)(ⅶ)(ⅹ),,,,,,,,黄山四絶（奇松怪石雲海温泉）が黄山の景色を特徴づけている
神話・伝説,元の上都遺跡,中国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,フビライ・ハン,,,,
神話・伝説,砂漠の城クセイル・アムラ,ヨルダン,(ⅰ)(ⅲ)(ⅳ),,ウマイヤ朝,,,,,,イスラム社会では珍しい図柄のフレスコ画
神話・伝説,クサントスとレトーン,トルコ,(ⅱ)(ⅲ),,,リュキア人,,,,,
聖山,モン・サン・ミシェルとその湾,フランス,(ⅰ)(ⅲ)(ⅵ),,,,ノルマンディー公リシャール1世,,ノートル・ダム・ス・テール聖堂,ノルマンディー・ロマネスク建築,"修道士の瞑想の場である最上階の回廊
 ベネディクト会"
聖山,ピエモンテとロンバルディアのサクロ・モンテ群,イタリア,(ⅱ)(ⅳ),文化的景観,,,,,ヴァラッロ・セジアのサクロ・モンテ,,イスラム教徒の勢力によりエルサレムなどへの聖地巡礼が難しくなったため代替としてつくられた
聖山,メテオラの修道院群,ギリシャ,(ⅰ)(ⅱ)(ⅳ)(ⅴ)(ⅶ),,,,,,"メタモルフォシス修道院
 アギオス・ステファノス修道院",クレタ様式,イコン
聖山,聖山アトス,ギリシャ,(ⅰ)(ⅱ)(ⅳ)(ⅴ)(ⅵ)(ⅶ),,,,,,,,女人禁制
聖山,ブラガのボン・ジェズス・ド・モンテ聖域,ポルトガル,(ⅳ),文化的景観,,,,,,,カトリック教会によって進められた聖山（サクロ・モンテ）を築く運動
聖山,聖カトリーナ修道院地域,エジプト・アラブ,(ⅰ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,シナイ山北麓にあるキリスト教修道院
聖山,マプングブエの文化的景観,南アフリカ,(ⅱ)(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,,,象牙や金時期やガラス玉などの交易品が多数出土
聖山,ナンダ・デヴィ国立公園と花の谷国立公園,インド,(ⅶ)(ⅹ),,,,,"シャクナゲ
 ユキヒョウ
 ジャコウジカ",,,女神ナンダが住む聖地
聖山,カンチェンジュンガ国立公園,インド,(ⅲ)(ⅳ)(ⅶ)(ⅹ),,,,,,,,神話が伝える神聖さや教訓は仏教の教えと同化しシッキムの民の文化の礎となった
聖山,チャムパーサックの文化的景観にあるワット・プーと関連古代遺跡群,ラオス,(ⅲ)(ⅳ)(ⅵ),文化的景観,,,,,,,カオ山（プー・カオ）
聖山,武当山の道教寺院群,中国,(ⅰ)(ⅱ)(ⅵ),,,,永楽帝,,,,
聖山,五台山,中国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),文化的景観,,,,,,,文殊菩薩の聖地
宗教,キーウ：聖ソフィア聖堂と関連遺産群、キーウ・ペチェルーシク大修道院,ウクライナ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),危機遺産,キエフ大公国,,ヤロスラフ賢公,,,ビザンツ様式とロシアの伝統様式が融合,"オランス（祈り）
 キーウ・ルーシ"
宗教,リラの修道院,ブルガリア,(ⅵ),,,,フレリヨ・ドラゴボラ,,聖母聖堂,,"イワンは死後イワン・リルスキーとして聖人に列せられた
 ブルガリア正教"
宗教,ヤヴォルとシフィドニツァの平和教会,ポーランド,(ⅲ)(ⅳ)(ⅵ),,,,,,,,"砦にならないよう頑丈な石製にすることは禁じられた
 三十年戦争"
宗教,ヒルデスハイムの聖マリア大聖堂と聖ミヒャエル聖堂,ドイツ,(ⅰ)(ⅱ)(ⅲ),,,,ベルンヴァルト,,,,
宗教,シュパイア、ヴォルムス、マインツのユダヤ人共同体（シュム）関連遺産群,ドイツ,(ⅱ)(ⅲ)(ⅵ),,,ユダヤ人,,,,,アシュケナジムのコミュニティが存在した
宗教,アルコバサの修道院,ポルトガル,(ⅰ)(ⅳ),,,,,,,,太ると通ることのできない細い食堂の入口がシトー会の主義を示す
宗教,クリスティアンスフェル：モラヴィア教会入植地,デンマーク/アメリカ/イギリス/ドイツ,(ⅲ)(ⅳ),,,,,,,シビック・バロック様式,"平等とヒューマニズムが重視された街のつくりはプロテスタントの理想都市を象徴
 ルター派"
宗教,タプタプアテア,フランス,(ⅲ)(ⅳ)(ⅵ),文化的景観,,,,,,,オロ神
宗教,聖都アブー・メナー,エジプト・アラブ,(ⅳ),危機遺産,,,聖者メナス,,,,コプト教
宗教,カイロの歴史地区,エジプト・アラブ,(ⅰ)(ⅴ)(ⅵ),,マムルーク朝,,,,ミスル・アル・カーヒラ,,1000のミナレットが立つ街
宗教,バンディアガラの断崖,マリ,(ⅴ)(ⅶ),,,ドゴン族,,,,,アンマ
宗教,サルト：寛容と都市的ホスピタリティの場,ヨルダン,(ⅱ)(ⅲ),,,,,,,,イスラム教徒とキリスト教が共同生活を送った
宗教,ハイファと西ガリラヤのバハイ教聖所群,イスラエル,(ⅲ)(ⅵ),,,,バハウッラー,,,,
宗教,テランガナ州にあるカカーティヤ時代のルドレシュワラ（ラマッパ）寺院,インド,(ⅰ)(ⅲ),,,,レチャーラ・ルドラ,,,,
宗教,アーグラ城,インド,(ⅲ),,ムガル帝国,,アクバル,,,,イスラム教徒とヒンドゥー教徒の融和を図った
宗教,エローラーの石窟寺院群,インド,(ⅰ)(ⅲ)(ⅵ),,,,,,"カイラーサ寺院
 チャイティヤ窟",,仏教・ヒンドゥー教・ジャイナ教
宗教,聖地アヌラーダプラ,スリ Lanka,(ⅱ)(ⅲ)(ⅵ),,,,マヒンダ,,,,
宗教,ラサのポタラ宮歴史地区,中国,(ⅰ)(ⅳ)(ⅵ),,,,ダライ・ラマ,,ジョカン寺,,
宗教,石窟庵と仏国寺,韓国,(ⅰ)(ⅳ),,,,金大城,,,,
学術関連,ザンクト・ガレンの修道院,スイス,(ⅱ)(ⅳ),,,,ガルス,,,,"ベネディクト会
 ロココ様式の付属図書館"
学術関連,パドヴァの植物園（オルト・ボタニコ）,イタリア,(ⅱ)(ⅲ),,,,アンドレア・モロニ,,,,世界最古の植物園
学術関連,キューの王立植物園,イギリス,(ⅱ)(ⅲ)(ⅳ),文化的景観,,,ジョージ3世の母,,パーム・ハウス,,
学術関連,プラド通りとブエン・レティーロ：芸術と科学の景観,スペイン,(ⅱ)(ⅳ)(ⅵ),文化的景観,,,,,,,知識の民主化という啓蒙思想と結びついている
学術関連,アルカラ・デ・エナレスの大学と歴史地区,スペイン,(ⅱ)(ⅳ)(ⅵ),,,,シスネスロ枢機卿,,,,
学術関連,サラマンカの旧市街,スペイン,(ⅰ)(ⅱ)(ⅳ),,,,,,,プラテレスコ様式,
学術関連,コインブラ大学：アルタとソフィア,ポルトガル,(ⅱ)(ⅳ)(ⅵ),,,,,,アルカソヴァの王宮,,
学術関連,シャーロットヴィルのモンティチェロとヴァージニア大学,アメリカ,(ⅰ)(ⅳ)(ⅵ),,,,トマス・ジェファンソン,,,,
学術関連,シンガポール植物園,シンガポール,(ⅱ)(ⅳ),文化的景観,イギリス植民地時代,,ローレンス・ニーベン,,,,ゴムのプランテーション
学術関連,メキシコ国立大学（UNAM）の中央大学都市キャンパス,メキシコ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,メキシコ壁画運動
学術関連,モレリアの歴史地区,メキシコ,(ⅱ)(ⅳ)(ⅵ),,,,,,サン・ニコラス神学校,,
学術関連,カラカスの大学都市,ベネズエラ,(ⅰ)(ⅳ),,,,,,ベネズエラ大学,,
学術関連,ナーランダ・マハーヴィハーラの遺跡群,インド,(ⅳ)(ⅵ),,,,,,,,インド亜大陸における最古の大学
学術関連,ザビードの歴史地区,イエメン,(ⅱ)(ⅳ)(ⅵ),危機遺産,,,,,アル・アシャエル・モスク,,
天文学関連,書院：韓国の性理学教育機関群,韓国,(ⅲ),,李氏朝鮮時代,,,,,,
天文学関連,ジョドレルバンク天文台,イギリス,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,バーナード・ラヴェル,,,,"ラヴェル望遠鏡
 国際天文学連合（IAU）"
天文学関連,海事都市グリニッジ,イギリス,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,,バロック様式,経度0度の本初子午線が通る世界の基点
天文学関連,ブルーナ・ボーニャ：ボイン渓谷の考古遺跡,アイルランド,(ⅰ)(ⅲ)(ⅳ),,,,,,"ニューグレンジ
 ノウス
 ダウス",,
天文学関連,リスコ・カイドとグラン・カナリア島の聖なる山々の文化的景観,スペイン,(ⅲ)(ⅴ),文化的景観,,,,,アルモガレン,,
天文学関連,シュトルーベの測地弧,ウクライナ/エストニア/スウェーデン/ノルウェー/フィンランド/ベラルーシ/モルドバ/ラトビア/リトアニア/ロシア,(ⅱ)(ⅳ)(ⅵ),,,,フリードリヒ・フォン・シュトルーベ,,,,三角測量を行い地球がわずかに楕円形であることが証明された
天文学関連,ジャイプールのジャンタル・マンタル‐マハラジャの天文台,インド,(ⅲ)(ⅳ),,,,ジャイ・シング2世,,サムラート・ヤントラ,,
天文学関連,文化交差路サマルカンド,ウズベキスタン,(ⅰ)(ⅱ)(ⅳ),,,,ウルグ・ベク,,,,
天文学関連,アフラージュ‐オマーンの灌漑システム,オマーン,(ⅴ),,,,,,,,ファラジの複数形
天文学関連,バイカル湖,ロシア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,ニュートリノ望遠鏡
天文学関連,フラーネカーのエイシンハ・プラネタリウム,オランダ,(ⅳ),,,,エイセ・エイシンハ,,,,
天文学関連,フレーデフォート・ドーム,南アフリカ,(ⅷ),,,,,,,,世界最古にして最大最新の隕石痕
天文学関連,チャンキーヨの天文考古学遺産群,ペルー,(ⅰ)(ⅳ),,,,,,,,太陽を観測して1年の日付を示す暦
天文学関連,開城歴史遺跡地区,北朝鮮,(ⅱ)(ⅲ),,高麗王朝,,,,,,
天文学関連,天壇：北京の皇帝祭壇,中国,(ⅰ)(ⅱ)(ⅲ),,,,,,"祈念殿
 皇穹宇
 圜丘壇",,
産業・経済活動関連遺産,登封の歴史的建造物群‐天地之中,中国,(ⅲ)(ⅵ),,,,,,,,嵩山（中岳）
産業・経済活動関連遺産,ヴィエリチカとボフニャの王立岩塩坑,ポーランド,(ⅳ),,,,カジミエシュ2世,,"聖ギンガの礼拝堂
 ヴィエリチカの製塩所",,ポーランド王国の財源の3分の1を占める
産業・経済活動関連遺産,ラス・メドゥラス,スペイン,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,古代ローマ時代,,,,,,"金の採掘城跡
 大量の水で山を削る技法が用いられた"
産業・経済活動関連遺産,フライ・ベントスの産業景観,ウルグアイ,(ⅱ)(ⅳ),,,,,,,,ウルグアイ川に突き出た食肉処理工場
産業・経済活動関連遺産,サワルントのオンピリン炭鉱遺産,インドネシア,(ⅱ)(ⅳ),文化的景観,,,,,,,石炭の採掘から製造輸送出荷までが一体となったシステム
産業・経済活動関連遺産,ペルシア湾の真珠産業関連遺：島嶼経済の証拠,バーレーン,(ⅲ),,,,,,カラット・ブ・マヒール要塞,,日本の真珠養殖による産業の衰退
産業・経済活動関連遺産,レッド・ベイのバスク人捕鯨基地,カナダ,(ⅲ)(ⅳ),,,,,,,,グラン・ベイヤ
産業・経済活動関連遺産,コルドゥアン灯台,フランス,(ⅰ)(ⅳ),,,,ルイ・ド・フォワ技師,,,マニエリスム,フランス王の栄光の象徴
産業・経済活動関連遺産,ヴァールベリのグリメトン無線局,スウェーデン,(ⅱ)(ⅳ),,,,,,,,"初代アレクサンダーソン製の送信機
 現在は使用されていないがいつでも使用可能な状態である
 大西洋を越える無線通信が可能"
産業・経済活動関連遺産,ダーウェント峡谷の工場群,イギリス,(ⅱ)(ⅳ),,,,リチャード・アークライト,,,,クロムフォード村の工場
産業・経済活動関連遺産,ニュー・ラナーク,イギリス,(ⅱ)(ⅳ)(ⅵ),,,,ロバート・オーウェン,,,,リチャード・アークライトの水力紡績機を導入
産業・経済活動関連遺産,クレスピ・ダッダの企業都市,イタリア,(ⅳ)(ⅴ),,,,,,,,紡績・織物工場
産業・経済活動関連遺産,リューカン・ノトッデンの産業遺産,ノルウェー,(ⅱ)(ⅳ),,,,,,スウェルグフォス水力発電所,,ノシュク・ハイドロ社が空気から窒素を固定する合成肥料を製造するために設立
産業・経済活動関連遺産,セウェル鉱山都市,チリ,(ⅱ),,,,,,エル・テニエンテ銅山,,
産業・経済活動関連遺産,サラン・レ・バン大製塩所からアルケ・スナン王立製塩所までの天日塩生産所,フランス,(ⅰ)(ⅱ)(ⅳ),,,,クロード・ニコラ・ルドゥ,,,,円形に配置することで労働組織の効率化
産業・経済活動関連遺産,アウクスブルクの水管理システム,ドイツ,(ⅱ)(ⅳ),,,,,,"運河網
 ポンプ式の給水塔
 冷水ホール",,水力工学分野におけるパイオニアとなった
