地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
アフリカ,自然の景観美,ルウェンゾリ山地国立公園,ウガンダ,(ⅶ)(ⅹ),,,,,,,ルウェンゾリ・ダイカー,,マルゲリータ峰（スタンリーウアマ）,,,,,,,
アフリカ,自然の景観美,ケニア山国立公園と自然林,ケニア,(ⅶ)(ⅸ),,,,,,,ジャイアントロベリア,,,,,,,,,標高5199mの火山で、アフリカ第2の高峰
アフリカ,自然の景観美,シミエン国立公園,エチオピア,(ⅶ)(ⅹ),,,,,,,"ワリアアイベックス
ゲラダヒヒ",,,,,,,,,
アフリカ,自然の景観美,バレ山脈国立公園,エチオピア,(ⅶ)(ⅹ),,,,,,,アビシニアジャッカル（エチオピアオオカミ）,,,,,,,,アフロ・アルパイン地帯,
アフリカ,自然の景観美,大地溝帯にあるケニアの湖沼群,ケニア,(ⅶ)(ⅸ)(ⅹ),,,,,,,"コフラミンゴ
モモイロペリカン
グレータークーズー",,,,,,,,,比較的浅いアルカリ塩湖が地下でつながり広がっている
アフリカ,自然の景観美,ウニアンガ湖群,チャド,(ⅶ),,,,,,,,,"ウニアンガ・ケビル群
ウニアンガ・スリ群",,,,,,,テリ湖に淡水が流れ込んで湖群全体の塩化が防がれる独自の水文システムがある
アフリカ,自然の景観美,マラウイ湖国立公園,マラウイ,(ⅶ)(ⅸ)(ⅹ),,,,,,,ムブナ,,,,,,,,大地溝帯（グレート・リフト・バレー）,適応放散と種分化の著しい例
アフリカ,自然の景観美,ジュジ国立鳥類保護区,セネガル,(ⅶ)(ⅹ),,,,,,,モモイロペリカン,,,,,,,,,旧北区からの渡り鳥を含む300種ほどの鳥類が確認されている
アフリカ,自然の景観美,イシマンガリソ湿地公園,南アフリカ共和国,(ⅶ)(ⅸ)(ⅹ),,,,,,,,,,,,,,,"海洋
砂浜
湖沼
サバンナ森林
草原",アフリカでサンゴが見られる南端
アフリカ,自然の景観美,アルダブラ環礁,セーシェル,(ⅶ)(ⅸ)(ⅹ),,,,,,チャールズ・ダーウィン,アルダブラゾウガメ,,,,,,,,,
アフリカ,自然の景観美,マナ・プールズ国立公園、サピとチュウォールの自然保護区,ジンバブエ,(ⅶ)(ⅸ)(ⅹ),,,,,,,"ナイルワニ
アフリカスイギュウ
クロサイ",,,,,,,,,雨季には完全に浸水する
アフリカ,自然の景観美,アンドレファナ乾燥林群,マダガスカル,(ⅶ)(ⅸ)(ⅹ),,,,,,,"レムール
アイアイ",,ツィンギー,,,,,,,"メガダイバーシティ国家の1つ
レムールはK-Pg境界の後にマダガスカルに到達した共通の祖先をもつ
現生するクイナモドキ科の3種のうち2種がこの地域の固有種である"
アフリカ,地球の生成歴史,ナミブ砂漠,ナミビア,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,ウェルウィッチア,,,,,,,海岸砂漠,"半固定化した古い層と、その上に広がる若く流動的な層の2つの砂丘システム
ドラーケンスベルグ山脈周辺から運ばれてきた砂塵によって形成されている"
アフリカ,地球の生成歴史,ワディ・アル・ヒタン（鯨の谷）,エジプト・アラブ,(ⅷ),,,,,,,バシロサウルス,,,,,,,,,クジラの祖先にあたる海洋動物の化石が多数発見されている
アフリカ,地球の生成歴史,メ渓谷自然保護区,セーシェル,(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,,,,,,フタゴヤシ,,,,,,,,わずか0.195km²の小さな自然保護区
アフリカ,地球の生成歴史,バーバートン・マコンジュワ山脈,南アフリカ共和国,(ⅷ),,,,,,,,,,,,,,,,"33億年前の火山岩から地球外有機物が発見された
バーバートン・グリーンストーン・ベルトの4割を占める"
アフリカ,地球の生成歴史,フレーデフォート・ドーム,南アフリカ共和国,(ⅷ),,,,,,,,,,,,,,,,"世界最古にして最大、最深の隕石痕
この隕石の衝突によって地殻変動が引き起こされた"
アフリカ,地球の生成歴史,トゥルカナ湖国立公園群,ケニア,(ⅷ)(ⅹ),,危機遺産,,,,,ナイルワニ,,,,,,,,,"東アフリカに存在する湖の中では最も塩分濃度が高い
隣国エチオピアでのダム開発が生態系に影響を与えている"
アフリカ,地球の生成歴史,ヴィクトリアの滝（モシ・オ・トゥニャ）,"ザンビア
ジンバブエ",(ⅶ)(ⅷ),,,,,,リヴィングストン,セーブルアンテロープ,,,,,,,,,"轟音響かせる水煙＝モシ・オ・トゥニャ
滝の位置は徐々に上流へと移動した"
アフリカ,生物多様性,オカバンゴ・デルタ,ボツワナ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,,,,,,,,内陸デルタ地帯,"世界遺産登録数が1000件に達した際の記念すべき遺産
世界最大級のゾウの生息数"
アフリカ,生物多様性,Ｗ‐アルリ‐ペンジャーリ国立公園群,"ニジェール
ベナン
ブルキナファソ",(ⅸ)(ⅹ),,,,,,,セーブルアンテロープ,,,,,,,,,西アフリカ最大のゾウの生息数
アフリカ,生物多様性,ニンバ山厳正自然保護区,"ギニア
コートジボワール",(ⅸ)(ⅹ),,危機遺産,,,,,ニシコモチヒキガエル,,,,,,,,,サハラから吹く熱風やハルマッタン、季節風の影響で1年を通して高温多湿である
アフリカ,生物多様性,オザラ・コクアの森林山塊,コンゴ,(ⅸ)(ⅹ),,,,,,,"マルミミゾウ
ニシローランドゴリラ",,,,,,,,,霊長類の多様性が最も豊かな場所
アフリカ,生物多様性,サンガ川流域‐三ヵ国を流れる大河,"カメルーン
中央アフリカ
コンゴ",(ⅸ)(ⅹ),,,,,,,"ナイルワニ
ムベンガ",,,,,,,,,
アフリカ,生物多様性,イヴィンド国立公園,ガボン,(ⅸ)(ⅹ),,,,,,,"マルミミゾウ
ニシローランドゴリラ
アフリカクチナガワニ",,コンゴウ滝,,,,,,,
アフリカ,生物多様性,マノヴォ‐グンタ・サン・フローリス国立公園,中央アフリカ,(ⅸ)(ⅹ),,危機遺産,,,,,"クロサイ
アフリカゾウ",,,,,,,,,
アフリカ,生物多様性,サロンガ国立公園,コンゴ民主,(ⅶ)(ⅸ),,,,,,,ボノボ,,,,,,,,,約400種を超える哺乳類が暮らしている
アフリカ,生物多様性,ジャー動物保護区,カメルーン,(ⅸ)(ⅹ),,,,,,,"ニシローランドゴリラ
コビトグエノン",,,,,,,,,アフリカ最大かつ最も保全状態の良い熱帯雨林保護区の1つ
アフリカ,生物多様性,サンガネブ海洋国立公園とドゥンゴナブ湾‐ムッカワル島海洋国立公園,スーダン,(ⅶ)(ⅸ)(ⅹ),,,,,,,ジュゴン,,,,,,,,,世界最北端のサンゴ礁
アフリカ,生物多様性,バン・ダルガン国立公園,モーリタニア・イスラム,(ⅸ)(ⅹ),,,,,,,チチュウカイモンクアザラシ,,,,,,,,遠浅の海,
アフリカ,生物多様性,ケープ植物区保護地域群,南アフリカ共和国,(ⅸ)(ⅹ),,,,,,,プロテア,,,,,,,,フィンボス,13の保護区
アフリカ,生物多様性,アイールとテネレの自然保護区群,ニジェール,(ⅶ)(ⅸ)(ⅹ),,危機遺産,,,,,"アダックス
ダマガゼル",,,,,,,,,特別保護区内での狩猟や伐採の禁止はトゥアレグ族の生活手段を奪ったため内戦に発展した
アフリカ,生物多様性,ガランバ国立公園,コンゴ民主,(ⅶ)(ⅹ),,危機遺産,,,,,"マルミミゾウ
アフリカゾウ
キタシロサイ
コルドファンキリン",,,,,,,,,
アフリカ,生物多様性,アツィナナナの熱帯雨林,マダガスカル,(ⅸ)(ⅹ),,危機遺産,,,,,キツネザル上科（レムール）,,,,,,,,,"森林の不法伐採により、元の森林の8.5%ほどしか残っていない
メガダイバーシティ国家の1つ"
アフリカ,生物多様性,オカピ野生動物保護区,コンゴ民主,(ⅹ),,危機遺産,,,,ヘンリー・ジョンストン,オカピ,,,,,,,,,
アフリカ,生物多様性,イシュケル国立公園,チュニジア,(ⅹ),,,,,,,カオジロオタテガモ,,,,,,,,,旧北区西部の鳥類にとって重要な越冬地
アフリカ,生物多様性,ニュングウエ国立公園,ルワンダ,(ⅹ),,,,,,,ヒルキクガシラコウモリ,,,,,,,,アルバーティーン地溝帯,
アフリカ,生物多様性,ニョコロ・コバ国立公園,セネガル,(ⅹ),,,,,,,,,,,,,,,"スーダン・サバンナ
ギニア森林",
アフリカ,生物多様性,セレンゲティ国立公園,タンザニア,(ⅶ)(ⅹ),,,,,,ベルンハルト・グジメック,アフリカゾウ,,マサイマラ国立保護区,,,,,,,6月に近づくと多くの草食動物は大移動を始める
アフリカ,生物多様性,セルー動物保護区,タンザニア,(ⅸ)(ⅹ),,危機遺産,,,,,,,,,,,,,,"アフリカ最大級の動物保護区
登録時は世界最大規模のアフリカゾウの生息地であったが、密猟の横行で危機遺産に登録された"
アフリカ,生物多様性,コモエ国立公園,コートジボワール,(ⅸ)(ⅹ),,,,,,,アフリカゾウ,,,,,,,,,象牙を狙う密漁者が多い
アフリカ,生物多様性,タイ国立公園,コートジボワール,(ⅶ)(ⅹ),,,,,,,"コビトカバ
チンパンジー",,,,,,,,,
アフリカ,生物多様性,カフジ・ビエガ国立公園,コンゴ民主,(ⅹ),,危機遺産,,,,,ヒガシローランドゴリラ,,,,,,,,,体毛の色からシルバーバックと呼ばれる
アフリカ,生物多様性,ヴィルンガ国立公園,コンゴ民主,(ⅶ)(ⅷ)(ⅹ),,危機遺産,,,,,マウンテンゴリラ,,,,,,,,,ルワンダ内戦や密猟の影響で個体数が減少
アフリカ,生物多様性,ブウィンディ原生国立公園,ウガンダ,(ⅶ)(ⅹ),,,,,,,マウンテンゴリラ,,,,,,,,,120種の哺乳類が生息
アメリカ,先住民族の遺跡（北米）,メサ・ヴェルデ国立公園,アメリカ,(ⅲ),,,,アナサジ族,,,,,クリフ・パレス,,,,,,,"大きなものでは100以上の部屋を擁していた
220の部屋とキヴァと呼ばれる23の円形地下礼拝堂がある"
アメリカ,先住民族の遺跡（北米）,チャコ文化,アメリカ,(ⅲ),,,,アナサジ族,,,,,プエブロ・ボニート,,,,,,,
アメリカ,先住民族の遺跡（北米）,タオス・プエブロの伝統的集落,アメリカ,(ⅳ),,,,タオス・プエブロ族,,,,,,,,,,,,「北の家」「南の家」と呼ばれる集合住宅に分かれている
アメリカ,先住民族の遺跡（北米）,ホープウェルの儀礼的土塁群,アメリカ,(ⅰ)(ⅲ),,,,,,,,,"オクタゴン土塁群
ホープトン土塁群
マウンド・シティ
ハイ・バンク土塁群
ホープウェル・マウンド群",八角形と円形の幾何学的な土塁からなる,,,ホープウェル文化,,,"土塁などは太陽と月の動きを考慮して位置が決められた
中央集権的な体制が存在しなかった"
アメリカ,先住民族の遺跡（北米）,ポヴァティ・ポイントの記念碑的土塁群,アメリカ,(ⅲ),,,,,,,,,マウンドA,,,,,,,6つの同心円状の盛土と、5つの土塁が含まれる
アメリカ,先住民族の遺跡（北米）,カホキア・マウンド州立史跡,アメリカ,(ⅱ)(ⅳ),,,,,,,,,モンクス・マウンド,,,,ミシシッピ文化,,,
アメリカ,先住民族の遺跡（北米）,スカン・グアイ,カナダ,(ⅲ),,,,,,,,,,,,,,,,32本のトーテムポールは、文字を持たない先住民の文化遺産として貴重
アメリカ,先住民族の遺跡（北米）,バッファロー狩りの断崖,カナダ,(ⅵ),,,,ブラックフット族,,,,,,,,,,,,追い込み猟を行っていた
アメリカ,先住民族の遺跡（北米）,ライティング・オン・ストーン/アイシナイピ,カナダ,(ⅲ),,文化的景観,,,,,,,フードゥー,,,,,,,
アメリカ,先住民族の遺跡（中米）,ティオティワカンの古代都市,メキシコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,アステカ帝国,,,,,,,,,タルー・タブレロ式,,ケツァルコアトル,,400以上もの黒曜石の加工場が見つかっていることから、黒曜性の交易を独占したことが繁栄につながったと考えられる
アメリカ,先住民族の遺跡（中米）,ソチカルコの古代遺跡地帯,メキシコ,(ⅲ)(ⅳ),,,,,,,,,,,,,,ケツァルコアトル,,"マヤの特徴を備えた神官、統治者、天文学者と解釈される姿が彫られている
花々の館を意味する"
アメリカ,先住民族の遺跡（中米）,タカリク・アバフ国立公国公園,グアテマラ,(ⅱ)(ⅲ),,,"オルメカ文明
マヤ文明",,,,,,石碑5,,,,,,,今日のエルサバドルとをつなぐ長距離交易の中継地であった
アメリカ,先住民族の遺跡（中米）,パキメの遺跡,メキシコ,(ⅲ)(ⅳ),,,,,,,,,日干しレンガ（アドべ）の集合住宅,,,,プエブロ文化,,,精巧な水利システムが備わっている
アメリカ,先住民族の遺跡（中米）,エル・タヒンの古代都市,メキシコ,(ⅲ)(ⅳ),,,,"トトナカ人
ワステカ人",,,,,壁龕のピラミッド,,,,,,,
アメリカ,先住民族の遺跡（中米）,ディキスの石球のある先コロンブス期の首長制集落群,コスタリカ,(ⅲ),,,,,,,,,フィンカ6,,,,,,,首長は力関係に応じた階層的な集落を形成
アメリカ,先住民族の遺跡（中米）,オアハカの中部渓谷にあるヤグルとミトラの先史洞窟,メキシコ,(ⅲ),,文化的景観,,,,,,,"ギラ・ナキツ洞窟
ヤグル遺跡",植物栽培の証拠/モンテ・アルバンが放棄され、小都市が勢力を伸ばしたことを示す遺跡が残る,,,,,,遊牧狩猟民族が農耕定住民へと移行したことを示す
アメリカ,先住民族の遺跡（中米）,サンフランシスコ山地の洞窟壁画,メキシコ,(ⅰ)(ⅲ),,,,コチミ族,フランシスコ・ハビエル・クラビヘロ,,,,,,,,,,,太古のメキシコ芸術をあらわしている
アメリカ,先住民族の遺跡（南米）,ナスカとパルパの地上絵,ペルー,(ⅰ)(ⅲ)(ⅳ),,,,,,"アルフレッド・クローバー
マリア・ライへ",,,,,,,ナスカ文化,,,褐色の小石を取り除くと、白い砂が露出する
アメリカ,先住民族の遺跡（南米）,ラパ・ニュイ国立公園,チリ,(ⅰ)(ⅲ)(ⅴ),,,,,,,,,バスクア島,,,,,,,"ラノ・ララク火山の周辺で採れる、柔らかくて削りやすい凝灰岩が使われている
人口増加による食糧難に陥ると「フリ・モアイ」が行われた"
アメリカ,先住民族の遺跡（南米）,聖都カラル・スぺ,ペルー,(ⅱ)(ⅲ)(ⅳ),,,,,,,,,カラル,,,,,,,アメリカ大陸に興った文明の中でも最も古いものの1つ
アメリカ,先住民族の遺跡（南米）,チャビンの考古遺跡,ペルー,(ⅲ),,,アンデス文明,,,,,,,,,,,ランソン,,
アメリカ,先住民族の遺跡（南米）,ティワナク：ティワナク文化の宗教的・政治的中心地,ボリビア,(ⅲ)(ⅳ),,,,,,,,,"アカパナ
太陽の門",,,,,,,
アメリカ,先住民族の遺跡（南米）,チャンチャンの考古地区,ペルー,(ⅰ)(ⅲ),,危機遺産,チムー王国,,,,,,ラ・シウダデラ,,,,,,,
アメリカ,先住民族の遺跡（南米）,ティエラデントロ国立公園,コロンビア,(ⅲ),,,,,,,,,セゴビアの円形墓地,,,,,,,
アメリカ,先住民族の遺跡（南米）,サン・アグスティン考古公園,コロンビア,(ⅲ),,,,,,,,,,,,,,,,400もの石像からなる南米最大規模の遺跡群
アメリカ,先住民族の遺跡（南米）,サパイマタの砦,ボリビア,(ⅱ)(ⅲ),,,,,,,,,,,,,,,,石英を含む赤味がかった砂岩層にさまざまな彫刻が施された
アメリカ,先住民族の遺跡（南米）,チャンキーヨの天文考古学遺産群,ペルー,(ⅰ)(ⅳ),,,,,,,,,,,,,,,,"13基の塔は人工的な地平線としての役割を持つ
セロ・ムーチョ・マロから日が昇るといったように、塔と太陽の位置で1年の日付を把握していた"
アメリカ,先住民族の遺跡（南米）,セラ・ダ・カピバラ国立公園,ブラジル,(ⅲ),,,,,,,,,,,,,,,,"アメリカ大陸での人類の起源が塗り替えられることとなった
世界最多の洞窟壁画を擁する"
アメリカ,先住民族の遺跡（南米）,ピントゥラス川のクエバ・デ・ラス・マノス,アルゼンチン,(ⅲ),,,,,,,,,手の洞窟,,,,,,,800以上の手形が残る
アメリカ,先住民族の遺跡（南米）,アリカ・イ・パリナコータ州におけるチンチョーロ文化の集落と人工ミイラ製造技術,チリ,(ⅲ)(ⅴ),,,,,,,,,アタカマ砂漠,,,,,,,性別や社会階層を問わず、乳幼児を含むさまざまな遺体がミイラ処理を施されている
アメリカ,先住民族の遺跡（南米）,カパック・ニャン：アンデスの道,"アルゼンチン
エクアドル
コロンビア
チリ
ペルー
ボリビア",(ⅱ)(ⅲ)(ⅳ)(ⅴ),,,,,,,,,インカ道,,,,,,,"地域住民による伝統的な保護や維持活動は評価された
273もの構成資産からなるシリアル・ノミネーション・サイト"
アメリカ,先住民族の遺跡（南米）,ケブラーダ・デ・ウマウアカ,アルゼンチン,(ⅱ)(ⅳ)(ⅴ),,文化的景観,,,,,,,プカラ,,,,,,,"1万年以上にわたって渓谷が交易路として使用されてきた
インカ帝国が滅亡するとアルト・ペルーと内陸部をつなぐルートとなった"
アメリカ,マヤ文明に関する遺産,チチェン・イツァの古代都市,メキシコ,(ⅰ)(ⅱ)(ⅲ),セノーテ,,,,,,,,"エル・カスティーリョ
カラコル",,チャクモール像,,,,,ユカタン半島最大級のセノーテのほとりに築かれた
アメリカ,マヤ文明に関する遺産,パレンケの古代都市と国立公園,メキシコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,パカル王,,,,碑文の神殿,パレンケ王家の歴史が記されたマヤン文字の碑文が発見された,,,,,,
アメリカ,マヤ文明に関する遺産,ウシュマルの古代都市,メキシコ,(ⅰ)(ⅱ)(ⅲ),,,,,,,,,"魔法使いのピラミッド
尼僧院",,,プウク様式,,,,
アメリカ,マヤ文明に関する遺産,コパンのマヤ遺跡,ホンジュラス,(ⅳ)(ⅵ),,,,,"ヤシュ・クック・モー（ケツァル・パパガヨ）大王
ワシャクラフン・ウバーフ・カウィル王（18ウサギ王）",,,,,,,,,,,神聖文字の階段には、62段の階段に2200以上ものマヤ文字が刻まれている
アメリカ,マヤ文明に関する遺産,キリグア遺跡公園,グアテマラ,(ⅰ)(ⅱ)(ⅳ),,,,,カック・ティリウ,,,,石碑E,,,,,,,
アメリカ,マヤ文明に関する遺産,ホヤ・デ・セレンの考古地区,エルサルバドル,(ⅲ)(ⅳ),,,,,,,,,,,,,,,,"マヤ文明の農村生活を伝える遺跡
ロマ・カルデラ火山噴火以降火山灰に埋もれていた"
アメリカ,入植の歴史（北米）,ケベック旧市街の歴史地区,カナダ,(ⅳ)(ⅵ),,,,,,,,,シャトー・フロントナック,,,,,,,"ヌーヴェル・フランスの要衝として建設後イギリス領となった
ケベック法により、フランスの文化が認められている"
アメリカ,入植の歴史（北米）,ランス・オー・メドー国立歴史公園,カナダ,(ⅵ),,,,ヴァイキング,,,,,,,,,,,,
アメリカ,入植の歴史（北米）,グラン・プレの景観,カナダ,(ⅴ)(ⅵ),,,,アカディア人,,,,,,,,,,,,
アメリカ,入植の歴史（北米）,ルーネンバーグの旧市街,カナダ,(ⅴ)(ⅵ),,,,,,,,,,,,ヴィクトリア朝建築,,,,
アメリカ,入植の歴史（中米）,メキシコ・シティの歴史地区とソチミルコ,メキシコ,(ⅱ)(ⅲ)(ⅳ)(ⅴ),,,アステカ帝国,,,,,,"ソカロ
テンプロ・マヨール
",,,,,,,テノチティトランが存在した
アメリカ,入植の歴史（中米）,植民都市サント・ドミンゴ,ドミニカ共和国,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,サン・ニコラス・デ・バリ病院,,,,,,,新大陸最古のスペイン植民地政策の活動拠点となった
アメリカ,入植の歴史（中米）,レオン・ビエホの遺跡群,ニカラグア,(ⅲ)(ⅳ),,,,,,,,,ラ・メルセー教会,,,,,,,モモトンボ火山の噴火と1610年の地震により壊滅した
アメリカ,入植の歴史（中米）,カマグエイの歴史地区,キューバ,(ⅳ)(ⅴ),,,,,,,,,,,,"新古典主義
アール・デコ
ネオ・コロニアル",,,,
アメリカ,入植の歴史（中米）,プエブラの歴史地区,メキシコ,(ⅱ)(ⅳ),,,,,,,,,ロザリオの聖母礼拝堂,,,,,,,街の装飾は粘土とアズレージョが融合したもの
アメリカ,入植の歴史（中米）,グアナフアトの歴史地区と鉱山,メキシコ,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,,,,"バレンシアナ教会堂
グアナフアト大学",,,,,,,フェリペ2世が寄進した聖母像が祀られている
アメリカ,入植の歴史（中米）,サカテカスの歴史地区,メキシコ,(ⅱ)(ⅳ),,,,,,,,,,,,チュリゲラ様式,,,,バラ色の街とも呼ばれる
アメリカ,入植の歴史（中米）,シエンフエゴスの歴史地区,キューバ,(ⅱ)(ⅳ),,,,,,,,,,,,,,,,"19世紀の砂糖ブームで繫栄した
フランス人移民の発想で造られた地区は碁盤目状に区切られている"
アメリカ,入植の歴史（中米）,オアハカの歴史地区とモンテ・アルバンの考古遺跡,メキシコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,,,,ラ・ソレダー教会堂,,,,,,,耐震設計
アメリカ,入植の歴史（中米）,ケレタロの歴史的建造物地区,メキシコ,(ⅱ)(ⅳ),,,,,,,,,サンタ・クララ教会堂,,,ケレタロ流バロック,,,,
アメリカ,入植の歴史（中米）,モレリアの歴史地区,メキシコ,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,モレリア大聖堂,,,,,,,メキシコ独立運動の中心地の1つ
アメリカ,入植の歴史（中米）,アンティグア・グアテマラ,グアテマラ,(ⅱ)(ⅲ)(ⅳ),,,,,,,,,ラ・メルセー教会,,,,,,,耐震性を高めて建造物が改築された
アメリカ,入植の歴史（中米）,パナマ・ビエホ考古遺跡とパナマの歴史地区,パナマ,(ⅱ)(ⅳ)(ⅵ),,,,,,,,,コロニアル風の大聖堂,,,,,,,ヘンリー・モーガンに襲われて廃墟と化した
アメリカ,入植の歴史（中米）,トラコタルパンの歴史的建造物地区,メキシコ,(ⅱ)(ⅳ),,,,,,,,,コロンブス広場,,,,,,,水に囲まれた土地という意味を持つ
アメリカ,入植の歴史（中米）,カミノ・レアル・デ・ティエラ・アデントロ‐メキシコ内陸部の王の道,メキシコ,(ⅱ)(ⅳ),,,,,,,,,,,,,,,,"1400㎞に及ぶ区間にある鉱山や聖堂、修道院、墓地、橋、市街などの55の遺跡と、5つの既存の世界遺産登録地
銀山で産出された銀や、ヨーロッパから輸入された銀の精製に使われた水銀の輸送路として使用された
ルート沿いには他民族の街がいくつも建設された"
アメリカ,入植の歴史（南米）,クスコの市街,ペルー,(ⅲ)(ⅳ),,,,,パチャクテク,,,,サクサイワマン,,,,,,,"フランシスコ・ピサロがわずか168人の兵士を連れてこの地を占領し、インカ帝国は滅亡した
インカ帝国の首都として栄えた地"
アメリカ,入植の歴史（南米）,キトの市街,エクアドル,(ⅱ)(ⅳ),,,,キトス族,,,,,大聖堂/サン・フランシスコ修道院/ラ・コンパニーア教会堂,カピスカラの「ラ・サバナ・サンタ」が飾られている/キト派という様式と集団を生み出した/,,,,,,インカ第2の都市として繁栄した
アメリカ,入植の歴史（南米）,リマの歴史地区,ペルー,(ⅳ),,,,,フランシスコ・ピサロ,,,,サン・フランシスコ修道院,,,,,,,1542年にペルー副王領の首都となる
アメリカ,入植の歴史（南米）,アレキパの歴史地区,ペルー,(ⅰ)(ⅳ),,,,,,,,,アルマス広場,,,,,,,1582年の地震後シラーという耐震性がある素材が使用された
アメリカ,入植の歴史（南米）,クエンカのサンタ・アナ・デ・ロス・リオス歴史地区,エクアドル,(ⅱ)(ⅳ)(ⅴ),,,,,カルロス5世,,,,,,,,,,,抗マラリア薬のキニーネとパナマ帽の生産と産出で栄えた
アメリカ,入植の歴史（南米）,ポトシの市街,ボリビア,(ⅱ)(ⅳ)(ⅵ),,危機遺産,,,,フランシスコ・デ・トレド,,,セロ・リコ,,,,,,,アマルガム法により約100年間で世界の銀産出量の半分を占める銀が産出された
アメリカ,入植の歴史（南米）,スクレの歴史都市,ボリビア,(ⅳ),,,,,アントニオ・ホセ・デ・スクレ,,,,,,,,,,,司教座設置が決まるとキリスト教布教活動の中心地になった
アメリカ,入植の歴史（南米）,ゴイアスの歴史地区,ブラジル,(ⅱ)(ⅳ),,,,,,,,,サン・タナ大聖堂,,,コロニアル調,,,,
アメリカ,入植の歴史（南米）,オウロ・プレトの歴史都市,ブラジル,(ⅰ)(ⅲ),,,,,,,,,ノッサ・セニョーラド・ピラール教会堂,,,,,,,
アメリカ,入植の歴史（南米）,ディアマンティーナの歴史地区,ブラジル,(ⅱ)(ⅳ),,,,,,,,,聖フランシス教会,,,,,,,ダイヤモンド採掘で栄えた都市
アメリカ,入植の歴史（南米）,サン・クリストヴァンのサン・フランシスコ広場,ブラジル,(ⅱ)(ⅳ),,,スペイン・ポルトガル同君連合時代,,,,,,サンタ・カーザ・ダ・ミゼリコディア協会,,,,,,,
アメリカ,入植の歴史（南米）,コロニア・デル・サクラメントの歴史地区,ウルグアイ,(ⅳ),,,,,,,,,サンティシモ・サクラメント大聖堂,,,,,,,ポルトガルがスペイン領内に築いた港湾都市
アメリカ,入植の歴史（南米）,オリンダの歴史地区,ブラジル,(ⅱ)(ⅳ),,,,,ペレイラ,,,,,,,,,,,ポルトガル植民地として砂糖産業で繁栄した
アメリカ,入植の歴史（南米）,サン・ルイスの歴史地区,ブラジル,(ⅲ)(ⅳ)(ⅴ),,,,,,,,,,,,,,,,"ブラジルで唯一フランス人が建設した植民都市
砂糖と綿花の貿易港として繁栄した"
アメリカ,入植の歴史（南米）,サンドヴァドル・デ・バイアの歴史地区,ブラジル,(ⅳ)(ⅵ),,,,,,,,,サルヴァドル大聖堂,,,,,,,"植民地ブラジルの最初の首都として繁栄した
1588年に新大陸初の奴隷市場が設けられた"
アメリカ,入植の歴史（南米）,パラマリボの歴史街区,スリナム,(ⅱ)(ⅳ),,,,,,,,,,,,,クレオール文化,,,
アメリカ,入植の歴史（南米）,ヨルサファナの考古学的遺跡：ヨルサファナの入植地とカシポラ・クリークの墓地,スリナム,(ⅲ),,,,,,セファルディム,,,ベラハ・ヴェシャローム・シナゴーグ,,,,,,,
アメリカ,入植の歴史（南米）,ヴァロンゴ埠頭の考古遺跡,ブラジル,(ⅵ),,負の遺産,,,,,,,,,,,,,,"アフリカ人奴隷を上陸させるため石造の埠頭が築かれ始めた
ドン・ペドロ2世の妻を迎えるため「皇后の埠頭」が建設された"
アメリカ,入植の歴史（南米）,海港都市バルパライソの歴史地区,チリ,(ⅲ),,,,,,,,,アセンソール,,,,,,,パナマ運河開通までこの地域に大きな商業的影響を与えた
アメリカ,入植の歴史（南米）,コロとその港,ベネズエラ,(ⅳ)(ⅴ),,危機遺産,,,,,,,太陽の家,,,,,,,ラ・ベラ港には、オランダ風建築様式の税関事務所や礼拝堂がある
アメリカ,入植の歴史（南米）,サンタ・クルス・デ・モンボスの歴史地区,コロンビア,(ⅳ)(ⅴ),,,,,フアン・デ・サンタ・クルス,,,,,,,,,,,マグダレナ川河口から約200km上流にある
アメリカ,要塞と軍事関連遺産,カルタヘナの港、要塞、歴史的建造物群,コロンビア,(ⅳ)(ⅵ),,,,,ペドロ・デ・エレディア,,,,サン・フェリペ要塞,,,,,,,フランシス・ドレークによって要塞が破壊・占領された
アメリカ,要塞と軍事関連遺産,ハバナの旧市街と要塞群,キューバ,(ⅳ)(ⅴ),,,,,ディエゴ・ベラスケス,,,,フエルサ要塞,,,,,,,
アメリカ,要塞と軍事関連遺産,パナマのカリブ海側の要塞群：ポルトベロとサン・ロレンツォ,パナマ,(ⅰ)(ⅳ),,危機遺産,,,,バッティスタ・アントネッリ,,,サン・ロレンツォ要塞,,,,,,,
アメリカ,要塞と軍事関連遺産,プエルト・リコの要塞とサン・フアン国立歴史地区,アメリカ,(ⅵ),,,,,,バッティスタ・アントネッリ,,,"ラ・フォルタレサ要塞
エル・モロ要塞",,,,,,,
